epoch,loss,lr,val_loss
0,-9.732958793640137,0.001,-9.288904190063477
1,-9.810891151428223,0.001,-9.321784019470215
2,-9.889688491821289,0.001,-9.312748908996582
3,-9.94997787475586,0.001,-9.409027099609375
4,-10.006181716918945,0.001,-9.403166770935059
5,-10.053736686706543,0.001,-9.416655540466309
6,-10.074972152709961,0.001,-9.371551513671875
7,-10.136640548706055,0.001,-9.399923324584961
