epoch,loss,lr,val_loss
0,0.11487404257059097,1e-05,0.14786353707313538
1,0.11477933079004288,1e-05,0.1477731466293335
2,0.11469360440969467,1e-05,0.14784900844097137
3,0.11460504680871964,1e-05,0.14770804345607758
4,0.11449878662824631,1e-05,0.14732669293880463
5,0.1144600361585617,1e-05,0.14741447567939758
6,0.11436300724744797,1e-05,0.14735673367977142
7,0.11427675187587738,1e-05,0.1471443772315979
8,0.1142328754067421,1e-05,0.14676892757415771
9,0.11414514482021332,1e-05,0.1471126824617386
10,0.11404149979352951,1e-05,0.14678484201431274
11,0.11397500336170197,1e-05,0.14686311781406403
12,0.11392660439014435,5e-06,0.1468266099691391
13,0.1138758510351181,5e-06,0.14680762588977814
14,0.11383114755153656,5e-06,0.14688286185264587
15,0.11383422464132309,2.5e-06,0.14673437178134918
16,0.11379585415124893,2.5e-06,0.14676378667354584
17,0.11377634853124619,2.5e-06,0.14661826193332672
18,0.11375794559717178,2.5e-06,0.14667999744415283
19,0.11375433951616287,2.5e-06,0.14663086831569672
20,0.11372373253107071,2.5e-06,0.14659835398197174
21,0.1136954203248024,1.25e-06,0.14654050767421722
22,0.11370411515235901,1.25e-06,0.14658492803573608
23,0.11369171738624573,1.25e-06,0.14663679897785187
24,0.11367051303386688,6.25e-07,0.1465744525194168
25,0.11368837207555771,6.25e-07,0.14658208191394806
26,0.11364346742630005,6.25e-07,0.14652907848358154
27,0.11367477476596832,3.125e-07,0.1465393304824829
28,0.11368722468614578,3.125e-07,0.14653393626213074
29,0.11360841989517212,3.125e-07,0.14653146266937256
30,0.11363628506660461,1.5625e-07,0.14652851223945618
31,0.11365291476249695,1.5625e-07,0.14653383195400238
32,0.11364328116178513,1.5625e-07,0.1465304046869278
